username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Punchlyon;2017-12-30 07:14;0;0;"Real one type shit where my grinders and go getters @Essex County, New Jersey https://www.instagram.com/p/BdTvD0KnR5R/";;@Essex;;"946919954250698753";https://twitter.com/Punchlyon/status/946919954250698753
MadCowKing;2017-12-30 07:14;0;0;"Drinking a Resin by @ sixpoint at @ bowerypresents —http://untp.beer/s/c545045370";;@ @;;"946919945551704064";https://twitter.com/MadCowKing/status/946919945551704064
Marianitabr;2017-12-30 07:14;0;0;"LOVE is in the air!!! en New York, New York https://www.instagram.com/p/BdTvKVnlPqE/";;;;"946919875313917952";https://twitter.com/Marianitabr/status/946919875313917952
mincchez;2017-12-30 07:13;0;0;"I had to do it. This boomie post worthy y’all! # kokolashes # queenb @Jersey City, New Jersey https://www.instagram.com/p/BdTu5TPnrOo/";;@Jersey;# #;"946919740420837376";https://twitter.com/mincchez/status/946919740420837376
511nyNJ;2017-12-30 07:13;0;0;"Construction on # US46 Both directions from West of CR 625/Randolph Av to East of Garden State Parkway http://511ny.org/EventDetails/TRANSCOM/ORC20654401 …";;;#;"946919739208724480";https://twitter.com/511nyNJ/status/946919739208724480
open_source_;2017-12-30 07:13;0;0;"Phillip Ammonds is our second storyteller of the night at How to Build a Fire! Tonight is also… https://www.instagram.com/p/BdTu9LtgPgj/";;;;"946919734775287813";https://twitter.com/open_source_/status/946919734775287813
sajoniadlightsp;2017-12-30 07:13;0;0;"Midolo Dibamboo Hair treatment. Alfaparf midollo di bamboo pro-concentrate contains botanical… https://www.instagram.com/p/BdTvFY8gH17/";;;;"946919707696824321";https://twitter.com/sajoniadlightsp/status/946919707696824321
BlessCouture;2017-12-30 07:13;0;0;"Last Picture of Today!! Black Ruffled Blouse and Our Best Seller Skinny High Waist Jeans @… https://www.instagram.com/p/BdTvEWNB1fb/";;@;;"946919675715379201";https://twitter.com/BlessCouture/status/946919675715379201
LauraKayeMusic;2017-12-30 07:13;0;1;"It’s always a magical experience visiting our great friend Jimmy Webb!! Love love love I NEED… https://www.instagram.com/p/BdTvEYjn0lq/";;;;"946919671294582784";https://twitter.com/LauraKayeMusic/status/946919671294582784
yondermeister;2017-12-30 07:13;0;0;"Impressive . Smooth as silk at first but real bitevfrom the lupulin powder addition - Drinking a Powder Dreams by @ cptlawrencebeer @Burnell Beer Garden and Urban Oasis —http://untp.beer/s/c545044032";;@ @Burnell;;"946919526259666946";https://twitter.com/yondermeister/status/946919526259666946
Paco23rave;2017-12-30 07:13;0;0;"Yes!!! daughters.official /,,/ # daughters # concert # live # ny # nyc @TERMINAL 5 https://www.instagram.com/p/BdTuRhFgpUB/";;@TERMINAL;# # # # #;"946919524707852288";https://twitter.com/Paco23rave/status/946919524707852288
slainbabyyc;2017-12-30 07:13;0;0;"Please vote for my mans right quick… https://www.instagram.com/p/BdTvARlldmW/";;;;"946919523961188357";https://twitter.com/slainbabyyc/status/946919523961188357
flyelyfe;2017-12-30 07:13;0;1;"@ rave__god # dj # edm # flyelyfe.com # newyorkcityarteries # mosttraumaafflicted # hustle… https://www.instagram.com/p/BdTu_3oBadk/";;@;# # # # # #;"946919515857842176";https://twitter.com/flyelyfe/status/946919515857842176
celestelooove;2017-12-30 07:12;0;0;"~ILL BE THERE FOR YOU~ @New York, New York https://www.instagram.com/p/BdTu_ZPnrw2b10n46pQE1RNxERCjNMFS2UI68U0/ …";;@New;;"946919498464014336";https://twitter.com/celestelooove/status/946919498464014336
chefjohnmooney;2017-12-30 07:12;0;0;"Birds eye! @Phish @Madison Square Garden https://www.instagram.com/p/BdTu-NwnnX3/";;@Phish @Madison;;"946919466209816576";https://twitter.com/chefjohnmooney/status/946919466209816576
TurboGener;2017-12-30 07:12;0;0;"Just posted a photo @Phish @Madison Square Garden https://www.instagram.com/p/BdTu9-5BBXAUVtHuPjApxTcvLgQoWQcUJVkVY80/ …";;@Phish @Madison;;"946919441517998081";https://twitter.com/TurboGener/status/946919441517998081
allijgreen;2017-12-30 07:12;0;0;"Just two best pals lifting & getting SWOLE AF... Special shout out to my prime filming of my… https://www.instagram.com/p/BdTuzjnl007/";;;;"946919423746756608";https://twitter.com/allijgreen/status/946919423746756608
WarrenPitchfork;2017-12-30 07:12;0;3;"Over and out she said. From a hospital bed. For what it’s worth,… https://www.instagram.com/p/BdTu7cJlBjzWtUVZ4OZ2s-oWx3sqfnk_QZAis00/ …";;;;"946919365147901952";https://twitter.com/WarrenPitchfork/status/946919365147901952
MattSoleyn;2017-12-30 07:12;0;0;"At the bar (@Monkey Room in New York, NY)https://www.swarmapp.com/c/aPlVcwF5mM2";;@Monkey;;"946919364867055616";https://twitter.com/MattSoleyn/status/946919364867055616
DeadNDrippin;2017-12-30 07:12;0;0;"# deadndrippin # winter2017 # hotcocoa # hotchocolate # brooklyn # ny… https://www.instagram.com/p/BdTu4lvnfsRdPRwu0XJGxgxBfHA1VkG0t8XUpE0/ …";;;# # # # # #;"946919272474914816";https://twitter.com/DeadNDrippin/status/946919272474914816
jdmecko;2017-12-30 07:11;0;0;"For u 2c media @Terrace On The Park https://www.instagram.com/p/BdTu3yLnZwi/";;@Terrace;;"946919235997044738";https://twitter.com/jdmecko/status/946919235997044738
localhoodmom;2017-12-30 07:11;0;0;"Leche Y Azucar//15https://www.realtalk4theculture.com/interviews/2017/12/24/leche-y-azucar16 …";;;;"946919228560564226";https://twitter.com/localhoodmom/status/946919228560564226
TaimonT717;2017-12-30 07:11;0;0;"Props to emmett_olunney for the warm hospitality! Hit up Emmett O’Lunney’s if you are ever in… https://www.instagram.com/p/BdTu2cygKMg/";;;;"946919195446599681";https://twitter.com/TaimonT717/status/946919195446599681
TotalTrafficNYC;2017-12-30 07:11;0;0;"Disabled vehicle, center lane blocked in # Queens on The Grand Central Pkwy EB approaching The L.I.E., stop and go... http://bit.ly/11xKLzq";;;#;"946919118061670400";https://twitter.com/TotalTrafficNYC/status/946919118061670400
arceballa87;2017-12-30 07:11;0;0;"Family day at Chucky cheese!!! @Chuck E. Cheese’s https://www.instagram.com/p/BdTuzZRnWzc/";;@Chuck;;"946919084230414336";https://twitter.com/arceballa87/status/946919084230414336
wazzling;2017-12-30 07:10;0;0;"we like big balls # bbb @Rockefeller Center https://www.instagram.com/p/BdTuwT-B5Vh-U2rqd0n1NYjoCIKlzllV40QnRw0/ …";;@Rockefeller;#;"946918983105699840";https://twitter.com/wazzling/status/946918983105699840
buddhagunzBKNY;2017-12-30 07:10;0;0;"# SoldOutEvent # TheBriefWondorousLifeOfOscarWao # JunotDiaz… https://www.instagram.com/p/BdTuf1kFRv6/";;;# # #;"946918981813833729";https://twitter.com/buddhagunzBKNY/status/946918981813833729
NYCPhotoUES;2017-12-30 07:10;0;0;"Second stop on the Tri-State Brewery Tour. Jersey City! Just a quick trip on the PATH and short… https://www.instagram.com/p/BdTuwCZFImw/";;;;"946918976210137089";https://twitter.com/NYCPhotoUES/status/946918976210137089
JohnuelLaron;2017-12-30 07:10;0;2;"never lose your sense of wonder @Central Park Manhatan https://www.instagram.com/p/BdTuwHZniMk3Y8Q7zxi15qPfAbIWle-ZLpg93A0/ …";;@Central;;"946918969310670848";https://twitter.com/JohnuelLaron/status/946918969310670848
navmathur;2017-12-30 07:10;0;0;"This little cutie # IshaVerma . @Hakkasan New York https://www.instagram.com/p/BdTuvpegoVV/";;@Hakkasan;#;"946918964818522112";https://twitter.com/navmathur/status/946918964818522112
BobbiePinz;2017-12-30 07:10;0;0;"Thanks to @ timehop!!! . One year ago today; @ beautifulonbway tour was playing Detroit,… https://www.instagram.com/p/BdTuuTHBx0P/";;@ @;;"946918922690945024";https://twitter.com/BobbiePinz/status/946918922690945024
jerseyinktattoo;2017-12-30 07:10;0;0;"- [ ] Jersey Ink TAttoos 303 Morris Ave Elizabeth !!!!!! Piercing special !!!!! Only $20 only… https://www.instagram.com/p/BdTutZkg-mt/";;;;"946918892248748037";https://twitter.com/jerseyinktattoo/status/946918892248748037
wilsonricky;2017-12-30 07:10;0;0;"Which one?? Wearing all black # NYE2018 @New York, New York https://www.instagram.com/p/BdTukFxjaAL/";;@New;#;"946918847017357312";https://twitter.com/wilsonricky/status/946918847017357312
RevCiancio;2017-12-30 07:09;0;0;"Who is having # FunWithFries : ME! I can’t go to @ blueribbonfc and not order the fries with the… https://www.instagram.com/p/BdSbMsFB0r2/";;@;#;"946918748560162816";https://twitter.com/RevCiancio/status/946918748560162816
WTFisCLB;2017-12-30 07:09;0;0;"I have poor reception. I just sent you a text";;;;"946918733783715840";https://twitter.com/WTFisCLB/status/946918733783715840
TotalTrafficNYC;2017-12-30 07:09;0;0;"Disabled vehicle, left lane blocked in # AreaOfHudsonRiverCrossingsHollandToNj on The Holland Tunl OB Tube WB betw... http://bit.ly/11xKLzq";;;#;"946918708211081216";https://twitter.com/TotalTrafficNYC/status/946918708211081216
Antonio_Davalos;2017-12-30 07:09;0;0;"# timessquare # timesquare # nyc # newyorkcity # newyork # manhattan # newyear # newyearseve pepsi… https://www.instagram.com/p/BdTunx7hEVN/";;;# # # # # # # #;"946918693140824064";https://twitter.com/Antonio_Davalos/status/946918693140824064
intodwetrvst;2017-12-30 07:09;0;0;"That one time we Delanceyed... veuvevoz @ intodwetrvst jsteelemodel @… https://www.instagram.com/p/BdTumnLn67mLdSZVKTz30VK15F0EIYXIZJdERU0/ …";;@ @;;"946918652581941248";https://twitter.com/intodwetrvst/status/946918652581941248
jordanbechara;2017-12-30 07:09;0;0;"Just posted a photo @Top Of The Rock NYC https://www.instagram.com/p/BdTumY8gZsQbhPbLxPT_mGiaDjW8PqqUQiU1YE0/ …";;@Top;;"946918640720470016";https://twitter.com/jordanbechara/status/946918640720470016
donibudo;2017-12-30 07:09;0;0;"L E M E S I N mariamaytha # girl # chill # red @New York, Central Park https://www.instagram.com/p/BdTulLGFvvM/";;@New;# # #;"946918602661289985";https://twitter.com/donibudo/status/946918602661289985
DenimDoingGood;2017-12-30 07:09;0;0;"Everyday Staples! # makeup @ hourglassmakeup # beauty # painteddenim # armypants # vintage # style… https://www.instagram.com/p/BdTukcWj52W/";;@;# # # # # #;"946918579844337664";https://twitter.com/DenimDoingGood/status/946918579844337664
maddalone;2017-12-30 07:09;0;0;"Drinking a Paulaner Salvator by Paulaner Brauerei @Hudson Hall —http://untp.beer/s/c545040434";;@Hudson;;"946918535388856320";https://twitter.com/maddalone/status/946918535388856320
eaglinthesky;2017-12-30 07:08;0;1;"Street art and new article online ! # instagram # follow # comment # travel # blogger # sharethelove… https://www.instagram.com/p/BdTuQ9ynSeS/";;;# # # # # #;"946918473774632962";https://twitter.com/eaglinthesky/status/946918473774632962
JiazuTV;2017-12-30 07:08;0;1;"Wonderful places :) highly recommend @Juliette Restaurant https://www.instagram.com/p/BdTugKrAcUk/";;@Juliette;;"946918428018954240";https://twitter.com/JiazuTV/status/946918428018954240
902Brewing;2017-12-30 07:08;0;0;"Drinking a Double Mosaic Dream by @ OtherHalfNYC at @ njbeerco —http://untp.beer/s/c545039984";;@ @;;"946918421509427207";https://twitter.com/902Brewing/status/946918421509427207
LLebnb;2017-12-30 07:08;0;0;"Scenes from "The City"... Hell yeah that's a Tim's. # citylife # empirestatebuilding… https://www.instagram.com/p/BdTue8JgFBC/";;;# #;"946918386608562179";https://twitter.com/LLebnb/status/946918386608562179
Ground_Central;2017-12-30 07:08;0;0;"A cold New York night to spend with a good book and a great coffee @Ground Central Coffee Company https://www.instagram.com/p/BdTufCdDNZx/";;@Ground;;"946918382590361601";https://twitter.com/Ground_Central/status/946918382590361601
pkesquire;2017-12-30 07:08;0;2;"2017 flashback Thank you to @ theskimm Short story A young lady came to DMV to change her… https://www.instagram.com/p/BdTucT-AjqD/";;@;;"946918300197490689";https://twitter.com/pkesquire/status/946918300197490689
Punchlyon;2017-12-30 07:07;0;0;"My daughter asked me about phomes i said they dope but im paying rent and car notes i look good… https://www.instagram.com/p/BdTuaOknIgg/";;;;"946918225497022465";https://twitter.com/Punchlyon/status/946918225497022465
GBOTHEPRO;2017-12-30 07:07;0;0;"Next Wednesday we set the 2018 off the right way! My man @ djtonytouch and the rocksteadyforlife… https://www.instagram.com/p/BdTuVuwh73m/";;@;;"946918207675338753";https://twitter.com/GBOTHEPRO/status/946918207675338753
511nyNJ;2017-12-30 07:07;0;0;"Incident on # NewJerseyTurnpikeEasternSpur SB at South of Interchange 15E - US 1&9 http://511ny.org/EventDetails/TRANSCOM/ORI171487001 …";;;#;"946918179695153153";https://twitter.com/511nyNJ/status/946918179695153153
yahtrav;2017-12-30 07:07;0;0;"Pulled my first tarot card. Pretty magical. - - - - - # tarot # tarotcards # magician # magic… https://www.instagram.com/p/BdTuYdBHI7O/";;;# # # #;"946918163689721858";https://twitter.com/yahtrav/status/946918163689721858
MOTORCYCLEMALL;2017-12-30 07:07;0;1;"Winter is here so don't miss out on the fun... Motorcycle Mall Inc. canam # maverickx3 # x3 Xcanam… https://www.instagram.com/p/BdTuYD-ArUU/";;;# #;"946918155695411201";https://twitter.com/MOTORCYCLEMALL/status/946918155695411201
wakeupgetdown;2017-12-30 07:07;0;0;"Drinking a Krombacher Pils by @ krombacherbeer @Plattduetsche Park —http://untp.beer/s/c545038474";;@ @Plattduetsche;;"946918032022147072";https://twitter.com/wakeupgetdown/status/946918032022147072
BlessCouture;2017-12-30 07:07;0;0;"Navy Blue Sweater Featuring Blue Stripe Bubble Sleeve @Bless Couture https://www.instagram.com/p/BdTuUMChSPw/";;@Bless;;"946918017463668736";https://twitter.com/BlessCouture/status/946918017463668736
C1015;2017-12-30 07:06;0;0;"(at @ JohnnyUtahsNyc in New York, NY)https://www.swarmapp.com/c/aITcUmpoLxd";;@;;"946917933934137345";https://twitter.com/C1015/status/946917933934137345
ModelTroyVelez;2017-12-30 07:06;0;1;"Dinner time. # friday # dinner # nyc # nyclife # nightlife @Travesias https://www.instagram.com/p/BdTuRwknuIa/";;@Travesias;# # # # #;"946917932344455168";https://twitter.com/ModelTroyVelez/status/946917932344455168
janinetoro;2017-12-30 07:06;0;0;"@ kristenlkish I got that # meatball for you # # nexttime your in # nyc # # meatballs… https://www.instagram.com/p/BdTuR1el0nV/";;@;# # # # # #;"946917931429982208";https://twitter.com/janinetoro/status/946917931429982208
dmahoneynyc;2017-12-30 07:06;0;4;"May we see the good in ourselves. . . and in each other. # newyear # kindergarten # wisdom # pjs… https://www.instagram.com/p/BdTuRbEgTQC/";;;# # # #;"946917926900187136";https://twitter.com/dmahoneynyc/status/946917926900187136
KeyLimePie96;2017-12-30 07:06;0;0;"What the bae got me for Christmas Thank you, baby I LOVE IT! # MinionInstax # hegetsme… https://www.instagram.com/p/BdTuPH_nnWH/";;;# #;"946917843114717184";https://twitter.com/KeyLimePie96/status/946917843114717184
Paco23rave;2017-12-30 07:06;0;0;"Freaking daughters.official opening the last night at @ terminal5nyc /,,/ # daughters # concert… https://www.instagram.com/p/BdTuOuZA7es/";;@;# #;"946917825729449984";https://twitter.com/Paco23rave/status/946917825729449984
