date,favorites,geo,hashtags,mentions,permalink,retweets,term,text,tweet_id,username
2017-11-02 09:46:38,0,,# #,@ @ @ @ @ @,https://twitter.com/erin61580/status/926083129210691586,0,@LACity,@ MayorOfLA @ metrolosangeles @ Wilshire_Grand @ flyLAXairport @ LACity @ unionstationla NOPE # SFGiants # BeatLA,926083129210691586,
2017-11-02 09:24:21,1,,,,https://twitter.com/julesriss/status/926077520318889984,0,@LACity,Exactly!,926077520318889984,
2017-11-02 09:14:04,0,,,,https://twitter.com/sexydiabetic2/status/926074933435711489,0,@LACity,Yeah,926074933435711489,
2017-11-02 05:50:40,2,,,,https://twitter.com/Elle_Vader/status/926023746980216832,0,@LACity,This is the dumbest thing I’ve ever read,926023746980216832,
2017-11-02 05:50:12,0,,,,https://twitter.com/Elle_Vader/status/926023628726009856,0,@LACity,"I’d leave California anyways, this state is garbage, lol!",926023628726009856,
2017-11-02 05:45:49,0,,,,https://twitter.com/Elle_Vader/status/926022524529385472,0,@LACity,"*Too, and I’m pretty sure he plays baseball better than you or he wouldn’t get paid to do it He’s not rookie of the year for nothing",926022524529385472,
2017-11-02 02:27:36,0,,,,https://twitter.com/Raider7597/status/925972641126678528,0,@LACity,The problem was that the Astros were behind Yu Darvish as well.,925972641126678528,
2017-11-02 02:06:24,3,,,,https://twitter.com/denajag/status/925967309532905472,0,@LACity,Agree,925967309532905472,
2017-11-02 01:43:54,3,,#,,https://twitter.com/esekikotl/status/925961645439909888,0,@LACity,Always n forever # ThisTeam Win or loose,925961645439909888,
2017-11-02 01:40:08,0,,#,@ @,https://twitter.com/Major_Dunross/status/925960698294702080,0,@LACity,@ LACity @ LAPARKINGBUREAU impressive group of idiots working for you. And this is mild example of what I see on a regular basis. # losangelespic.twitter.com/VSil8zz38T,925960698294702080,
2017-11-02 01:38:22,1,,,@ @ @ @,https://twitter.com/tacosandtea/status/925960252389855233,0,@LACity,"Shoutout to @ LACity for staying blue amidst the tragedy. @ USBankTower, @ Wilshire_Grand, y’all are fairweathers. @ dodgers",925960252389855233,
2017-11-02 01:24:42,0,,,,https://twitter.com/MisterBuzz13/status/925956812406263808,0,@LACity,Another one? Its your First One.,925956812406263808,
2017-11-02 01:06:29,0,,,,https://twitter.com/Brother_baxter/status/925952228581695488,0,@LACity,Sucks to be you go Astros,925952228581695488,
2017-11-02 00:53:32,0,,,,https://twitter.com/myechonrg/status/925948969162719232,0,@LACity,We lost because God is angry with California for siding with the communist democrats. ..,925948969162719232,
2017-11-02 00:50:07,3,,,,https://twitter.com/judyintahoma/status/925948112115343360,0,@LACity,"Berlinger is not a horrible player, he’s just young",925948112115343360,
2017-11-02 00:43:13,4,,,,https://twitter.com/janea_lewis/status/925946375497502720,2,@LACity,pic.twitter.com/BGUifAQ3I3,925946375497502720,
2017-11-02 00:40:03,0,,,,https://twitter.com/canyongal/status/925945576738365441,0,@LACity,Didn’t help. Fire Roberts. Fire Yu.,925945576738365441,
2017-11-02 00:22:07,0,,,@,https://twitter.com/marieglewis/status/925941064673804289,0,@LACity,@ Dodgers break my heart again but I still love them boys. <3,925941064673804289,
2017-11-02 00:19:51,0,,,@,https://twitter.com/CrawfordCrusher/status/925940495590797312,0,@LACity,@ LACity is the parade still on?,925940495590797312,
2017-11-02 00:18:33,4,,,,https://twitter.com/nota_winchester/status/925940167570886656,0,@LACity,Um no thankspic.twitter.com/JHJlqnV3ZZ,925940167570886656,
2017-11-02 00:15:52,2,,,,https://twitter.com/JosephNCali/status/925939492057313280,1,@LACity,I'm a Giants fan,925939492057313280,
2017-11-02 00:11:46,0,,,,https://twitter.com/Zakipooo/status/925938457976872965,0,@LACity,"good for you guys, i’m an angel fan though lol",925938457976872965,
2017-11-02 00:09:03,1,,#,,https://twitter.com/JeffsafeT/status/925937777027440640,0,@LACity,So when's that Parade? Bahahaha .... HISTORY! # THATteam!,925937777027440640,
2017-11-02 00:08:44,3,,,,https://twitter.com/JosephNCali/status/925937694307336192,1,@LACity,pic.twitter.com/SO9Ru5h7NV,925937694307336192,
2017-11-02 00:07:08,12,,#,,https://twitter.com/LACity/status/925937293986119681,3,@LACity,Always! So proud of # ThisTeam !https://twitter.com/mayorofla/status/925936642757500929 …,925937293986119681,
