,0,1,2,predOp
457,//www,NN,O,B-noun.communication
458,.,.,O,O
459,instagram.com/p/Ba5DBO_gmVv/,NN,O,B-noun.cognition
460,I,PRP,O,O
461,'m,VBP,O,O
462,having,VBG,O,B-verb.possession
463,a,DT,O,O
464,Coming,VBG,O,B-verb.motion
465,To,TO,O,O
466,America,NNP,O,B-noun.location
467,'','',O,O
468,moment,NN,O,B-noun.time
469,",",",",O,O
470,but,CC,O,O
471,instead,RB,O,O
472,of,IN,O,O
473,Queens,NNP,O,B-noun.time
474,",",",",O,O
475,NY,NNP,O,B-noun.location
476,I,PRP,O,O
477,'m,VBP,O,B-verb.stative
478,in,IN,O,O
479,Hollywood,NNP,O,B-noun.location
480,!,.,O,O
481,It,PRP,O,O
482,'s,VBZ,O,B-verb.stative
483,what's…,JJ,O,O
484,https,NN,O,B-noun.communication
485,:,:,O,O
486,//www,NN,O,B-noun.communication
487,.,.,O,O
488,instagram.com/p/Ba5DAxpAMG4/,NN,O,B-noun.cognition
489,'','',O,O
490,#,#,O,O
491,PLAY,NNP,O,O
492,'singing,VBG,O,B-verb.change
493,like,IN,O,O
494,Al,NNP,O,B-noun.person
495,',POS,O,O
496,x,NN,O,B-noun.communication
497,@,IN,O,O
498,drewtyrellMLE,NN,O,B-noun.location
499,now,RB,O,O
500,on,IN,O,O
501,soundcloud,NN,O,B-noun.artifact
502,.,.,O,O
503,ITS,NNP,O,B-noun.communication
504,MASCHINE…,NNP,O,I-noun.communication
505,https,NN,O,I-noun.communication
506,:,:,O,O
507,//www,NN,O,B-noun.communication
508,.,.,O,O
509,instagram.com/p/Ba5DAgFl_lz/,NN,O,B-noun.cognition
510,we,PRP,O,O
511,out,RP,O,O
512,@,JJ,O,O
513,LAX,NNP,O,B-noun.location
514,-,:,O,O
515,Los,NNP,O,B-noun.act
516,Angeles,NNP,O,I-noun.act
517,International,NNP,O,I-noun.act
518,Airport,NNP,O,I-noun.act
519,https,NN,O,I-noun.act
520,:,:,O,O
521,//www,NN,O,B-noun.communication
522,.,.,O,O
523,instagram.com/p/Ba5C6Mfnn6x/,NN,O,B-noun.cognition
524,Tomorrow,NN,O,B-noun.time
525,night,NN,O,I-noun.time
526,!,.,O,O
527,I,PRP,O,O
528,’,VBP,O,B-verb.emotion
529,m,JJ,O,O
530,gon,NN,O,B-noun.time
531,na,TO,O,O
532,be,VB,O,B-verb.stative
533,summoning,VBG,O,B-verb.communication
534,satan,JJ,O,O
535,with,IN,O,O
536,@,JJ,O,O
537,vileasin,NN,O,B-noun.person
538,come,VBP,O,B-verb.motion
539,thru,JJ,O,O
540,let,NN,O,B-noun.person
541,’,NNP,O,I-noun.person
542,s,VB,O,B-verb.communication
543,get,NN,O,O
544,faded,VBN,O,O
545,.,.,O,O
546,@,JJ,O,O
547,…,JJ,O,O
548,https,NN,O,B-noun.communication
549,:,:,O,O
550,//www,NN,O,B-noun.communication
551,.,.,O,O
552,instagram.com/p/Ba5C4ymDDfB/,NN,O,B-noun.cognition
553,There,EX,O,O
554,is,VBZ,O,B-verb.stative
555,a,DT,O,O
556,dog,NN,O,B-noun.animal
557,dressed,VBN,O,B-verb.cognition
558,as,IN,O,O
559,a,DT,O,O
560,in,IN,O,O
561,the,DT,O,O
562,Apple,NNP,O,B-noun.group
563,Store,NNP,O,I-noun.group
564,.,.,O,O
565,His,PRP$,O,O
566,name,NN,O,B-noun.artifact
567,is,VBZ,O,B-verb.stative
568,BooBoo,NNP,O,B-noun.time
569,&,CC,O,O
570,he,PRP,O,O
571,doesn,VBZ,O,B-verb.stative
572,’,JJ,O,O
573,t,JJ,O,O
574,look,NN,O,B-verb.perception
575,happy.…,JJ,O,O
576,https,NN,O,B-noun.communication
577,:,:,O,O
578,//www,NN,O,B-noun.communication
579,.,.,O,O
580,instagram.com/p/Ba5C2afHbPY/,NN,O,B-noun.cognition
581,80,CD,O,O
582,’,JJ,O,O
583,s,NNS,O,B-noun.person
584,vibe,VBP,O,B-verb.social
585,with,IN,O,O
586,anikawilmore,NN,O,B-noun.artifact
587,@,NNS,O,I-noun.artifact
588,Dogtown,NNP,O,I-noun.artifact
589,",",",",O,O
590,Los,NNP,O,B-noun.person
591,Angeles,NNP,O,I-noun.person
592,",",",",O,O
593,California,NNP,O,B-noun.person
594,https,NN,O,I-noun.person
595,:,:,O,O
596,//www,NN,O,B-noun.communication
597,.,.,O,O
598,instagram.com/p/Ba5C2UaB948/,NN,O,B-noun.cognition
599,@,JJ,O,O
600,dancingabc,NN,O,B-noun.communication
601,#,#,O,O
602,2LiveAndDieInLA,CD,O,O
603,@,NN,O,B-noun.communication
604,terrellowens,NNS,O,I-noun.communication
605,@,VBP,O,B-verb.change
606,cherylburke,JJ,O,O
607,#,#,O,O
608,teamgetchapopcorn,JJ,O,O
609,@,NNS,O,B-noun.person
610,Dancing,VBG,O,B-verb.social
611,with,IN,O,O
612,the…,JJ,O,O
613,https,NN,O,B-noun.communication
614,:,:,O,O
615,//www,NN,O,B-noun.communication
616,.,.,O,O
617,instagram.com/p/Ba5Cs42BHHb/,NN,O,B-noun.cognition
618,BUNS,NNP,O,B-noun.location
619,.,.,O,O
620,#,#,O,O
621,losangeles,VBZ,O,B-verb.stative
622,#,#,O,O
623,black,JJ,O,O
624,#,#,O,O
625,yellow,JJ,O,O
626,#,#,O,O
627,cute,JJ,O,O
628,#,#,O,O
629,girl,JJ,O,O
630,#,#,O,O
631,hair,NN,O,B-noun.communication
632,#,#,O,O
633,moods,NNS,O,B-noun.communication
634,@,NNP,O,I-noun.communication
635,Los,NNP,O,I-noun.communication
636,Angeles,NNP,O,I-noun.communication
637,",",",",O,O
638,California,NNP,O,B-noun.person
639,https,NN,O,I-noun.person
640,:,:,O,O
641,//www,NN,O,B-noun.communication
642,.,.,O,O
643,instagram.com/p/Ba5CzshhSZK/,NN,O,B-noun.cognition
644,My,PRP$,O,O
645,seatbelt,NN,O,B-noun.artifact
646,is,VBZ,O,B-verb.stative
647,not,RB,O,O
648,required,VBN,O,B-verb.emotion
649,but,CC,O,O
650,it,PRP,O,O
651,’,VBZ,O,B-verb.stative
652,s,JJ,O,O
653,vintage,NN,O,B-noun.communication
654,and,CC,O,O
655,belonged,VBN,O,B-verb.stative
656,on,IN,O,O
657,an…,JJ,O,O
658,https,NN,O,B-noun.communication
659,:,:,O,O
660,//www,NN,O,B-noun.communication
661,.,.,O,O
662,instagram.com/p/Ba5CwRzFLWH7,JJ,O,O
663,ZuECMSQMwxXCwYmh2Ra7km_AVI0/,NNP,O,B-noun.person
664,…,NN,O,I-noun.person
665,Tonight,NN,O,B-noun.time
666,!,.,O,O
667,Halloween,NNP,O,B-noun.person
668,Horror,NNP,O,I-noun.person
669,Skate,NNP,O,I-noun.person
670,Night,NNP,O,I-noun.person
671,at,IN,O,O
672,#,#,O,O
673,WOW,NNP,O,B-noun.location
674,.,.,O,O
675,.,.,O,O
676,Best,JJS,O,O
677,Costume,NNPS,O,B-noun.communication
678,Wins,VBZ,O,B-verb.communication
679,a,DT,O,O
680,ScooterBike,NNP,O,B-noun.artifact
681,&,CC,O,O
682,More,JJR,O,O
683,!,.,O,O
684,…,JJ,O,O
685,https,NN,O,B-noun.communication
686,:,:,O,O
687,//www,NN,O,B-noun.communication
688,.,.,O,O
689,instagram.com/p/Ba5CphMlEsx/,NN,O,B-noun.cognition
690,Saudadinha,NNP,O,B-noun.event
691,dessa,NN,O,I-noun.event
692,dessa,NN,O,I-noun.event
693,cidade,NN,O,I-noun.event
694,e,NN,O,I-noun.event
695,dessa,NN,O,I-noun.event
696,vibe,FW,O,O
697,incrível,NN,O,B-noun.person
698,!,.,O,O
699,em,JJ,O,O
700,Los,NNP,O,B-noun.person
701,Angeles,NNP,O,I-noun.person
702,",",",",O,O
703,California,NNP,O,B-noun.person
704,https,NN,O,I-noun.person
705,:,:,O,O
706,//www,NN,O,B-noun.communication
707,.,.,O,O
708,instagram.com/p/Ba5CqXRlu9d/,NN,O,B-noun.cognition
709,Any,DT,O,O
710,houses,NNS,O,B-noun.communication
711,handing,VBG,O,B-verb.change
712,out,RP,O,O
713,donuts,NNS,O,B-noun.person
714,instead,RB,O,O
715,of,IN,O,O
716,candy,NN,O,B-noun.food
717,this,DT,O,O
718,year,NN,O,B-noun.time
719,?,.,O,O
720,@,NNP,O,B-noun.person
721,Los,NNP,O,I-noun.person
722,Angeles,NNP,O,I-noun.person
723,",",",",O,O
724,California,NNP,O,B-noun.person
725,https,NN,O,I-noun.person
726,:,:,O,O
727,//www,NN,O,B-noun.communication
728,.,.,O,O
729,instagram.com/p/Ba5CokKDn0u/,NN,O,B-noun.cognition
730,Hi,NNP,O,B-noun.person
731,",",",",O,O
732,it,PRP,O,O
733,was,VBD,O,B-verb.stative
734,at,IN,O,O
735,least,JJS,O,O
736,100,CD,O,O
737,degrees,NNS,O,B-noun.artifact
738,when,WRB,O,O
739,I,PRP,O,O
740,took,VBD,O,B-verb.perception
741,this,DT,O,O
742,.,.,O,O
743,#,#,O,O
744,forestlawn,JJ,O,O
745,#,#,O,O
746,cemetery,JJ,O,O
747,#,#,O,O
748,death,NN,O,B-noun.artifact
749,#,#,O,O
750,hollywood,NN,O,B-noun.person
751,…,JJ,O,O
752,https,NN,O,B-noun.communication
753,:,:,O,O
754,//www,NN,O,B-noun.communication
755,.,.,O,O
756,instagram.com/p/Ba5CotGHfGn/,NN,O,B-noun.cognition
757,4,CD,O,O
758,Or,CC,O,O
759,5,CD,O,O
760,.,.,O,O
761,.,.,O,O
762,.,.,O,O
763,.,.,O,O
764,.,.,O,O
765,.,.,O,O
766,.,.,O,O
767,.,.,O,O
768,.,.,O,O
769,.,.,O,O
