,0,1,2,predOp
631,MUSIC,NNP,O,B-noun.communication
632,Kermit,NNP,O,I-noun.communication
633,the,DT,O,O
634,Frog,NNP,O,B-noun.location
635,-,:,O,O
636,Hollywood,NNP,O,B-noun.communication
637,Walk,NNP,O,I-noun.communication
638,of,IN,O,O
639,Fame,NNP,O,B-noun.communication
640,November,NNP,O,I-noun.communication
641,14,CD,O,O
642,",",",",O,O
643,2002,CD,O,O
644,It,PRP,O,O
645,'s,VBZ,O,B-verb.stative
646,Not,RB,O,O
647,Easy,NNP,O,B-noun.person
648,Being,NNP,O,I-noun.person
649,Green,NNP,O,I-noun.person
650,'','',O,O
651,I,PRP,O,O
652,think,VBP,O,B-verb.cognition
653,we,PRP,O,O
654,have,VBP,O,B-verb.possession
655,at,IN,O,O
656,least,JJS,O,O
657,six,CD,O,O
658,Kermit,NNP,O,B-noun.person
659,stuffed,VBD,O,B-verb.possession
660,animals,NNS,O,B-noun.communication
661,我が家には最低六つのカーミット,NNP,O,I-noun.communication
662,ぬいぐるみがいます,NNP,O,I-noun.communication
663,#,#,O,O
664,art,NN,O,B-noun.communication
665,@,NNP,O,I-noun.communication
666,wofstargirl,NN,O,I-noun.communication
667,@,NNP,O,I-noun.communication
668,hensoncompany,NN,O,I-noun.communication
669,@,NNP,O,I-noun.communication
670,TheMuppets,NNP,O,I-noun.communication
671,pic.twitter.com/oGFTEhGdBh,NN,O,I-noun.communication
672,'','',O,O
673,RuPaul,NNP,O,B-noun.person
674,becomes,VBZ,O,B-verb.communication
675,first,RB,O,O
676,drag,JJ,O,O
677,icon,NN,O,B-noun.time
678,to,TO,O,O
679,get,VB,O,B-verb.possession
680,a,DT,O,O
681,star,NN,O,B-noun.artifact
682,on,IN,O,O
683,the,DT,O,O
684,Hollywood,NNP,O,B-noun.person
685,Walk,NNP,O,I-noun.person
686,Of,IN,O,O
687,Fame,NNP,O,B-noun.act
688,http,NN,O,I-noun.act
689,:,:,O,O
690,//,JJ,O,O
691,fal.cn/4xoI,NN,O,B-noun.person
692,pic.twitter.com/imsw3XYwpU,NN,O,I-noun.person
693,This,DT,O,O
694,is,VBZ,O,B-verb.stative
695,one,CD,O,O
696,clip,NN,O,B-noun.time
697,that,IN,O,O
698,100,CD,O,O
699,%,NN,O,B-noun.time
700,should,MD,O,O
701,have,VB,O,O
702,stayed,VBN,O,B-verb.cognition
703,in,IN,O,O
704,#,#,O,O
705,TheLastJedi,NNP,O,B-noun.person
706,.,.,O,O
707,@,VB,O,B-verb.cognition
708,HamillHimself,NNP,O,B-noun.person
709,deserves,VBZ,O,B-verb.possession
710,a,DT,O,O
711,bloody,JJ,O,O
712,Oscar,NN,O,B-noun.person
713,...,:,O,O
714,though,IN,O,O
715,I,PRP,O,O
716,guess,VBP,O,B-verb.cognition
717,a,DT,O,O
718,star,NN,O,B-noun.artifact
719,on,IN,O,O
720,the,DT,O,O
721,Hollywood,NNP,O,B-noun.communication
722,Walk,NNP,O,I-noun.communication
723,of,IN,O,O
724,Fame,NNP,O,B-noun.person
725,will,MD,O,B-verb.communication
726,do,VB,O,B-verb.social
727,",",",",O,O
728,for,IN,O,O
729,now,RB,O,O
730,https,VBZ,O,B-verb.communication
731,:,:,O,O
732,//www,NN,O,B-noun.communication
733,.,.,O,O
734,youtube.com/watch,VB,O,B-verb.social
735,?,.,O,O
736,v=RHt00E,FW,O,O
737,8gVaA,CD,O,O
738,…,NN,O,B-noun.time
739,Do,VB,O,B-verb.social
740,you,PRP,O,O
741,realize,VB,O,B-verb.cognition
742,that,IN,O,O
743,you,PRP,O,O
744,are,VBP,O,B-verb.stative
745,supporting,VBG,O,B-verb.change
746,a,DT,O,O
747,TV,NN,O,B-noun.artifact
748,game,NN,O,I-noun.artifact
749,show,NN,O,I-noun.artifact
750,host,NN,O,I-noun.artifact
751,who,WP,O,I-noun.group
752,has,VBZ,O,B-verb.possession
753,a,DT,O,O
754,star,NN,O,B-noun.artifact
755,on,IN,O,O
756,the,DT,O,O
757,Hollywood,NNP,O,B-noun.communication
758,Walk,NNP,O,I-noun.communication
759,of,IN,O,O
760,Fame,NNP,O,B-noun.communication
761,?,.,O,O
762,!,.,O,O
763,He,PRP,O,O
764,is,VBZ,O,B-verb.stative
765,a,DT,O,O
766,Celebrity,NN,O,B-noun.communication
767,!,.,O,O
768,#,#,O,O
769,idiot,NN,O,B-noun.person
770,Hollywood,NNP,O,B-noun.person
771,Walk,NNP,O,I-noun.person
772,of,IN,O,O
773,Fame,NNP,O,B-noun.communication
774,(,(,O,O
775,Los,NNP,O,B-noun.location
776,Angeles,NNP,O,I-noun.location
777,California,NNP,O,I-noun.location
778,),),O,O
779,by,IN,O,O
780,@,NNP,O,B-noun.artifact
781,jojers20,NN,O,I-noun.artifact
782,[,NNP,O,I-noun.artifact
783,Enjoy,NNP,O,I-noun.artifact
784,+images,NNP,O,I-noun.artifact
785,&,CC,O,O
786,videos,NNS,O,B-noun.artifact
787,at,IN,O,O
788,http,NN,O,B-noun.location
789,:,:,O,O
790,//,JJ,O,O
791,CaliforniaFeelings.com,NNP,O,B-noun.person
792,],NNP,O,I-noun.person
793,|,VBZ,O,B-verb.communication
794,The,DT,O,O
795,Best,NNP,O,B-noun.person
796,Photos,NNP,O,I-noun.person
797,and,CC,O,O
798,Videos,NNP,O,B-noun.person
799,of,IN,O,O
800,California,NNP,O,B-noun.time
801,",",",",O,O
802,The,DT,O,O
803,Golden,NNP,O,B-noun.location
804,State,NNP,O,I-noun.location
805,.,.,O,O
806,#,#,O,O
807,California,NNP,O,B-noun.person
808,#,#,O,O
809,CaliforniaFeelings,NNS,O,B-noun.act
810,pic.twitter.com/FA9PWRZhky,NN,O,I-noun.act
811,I,PRP,O,O
812,met,VBD,O,B-verb.cognition
813,Clint,NNP,O,B-noun.person
814,Eastwood,NNP,O,I-noun.person
815,when,WRB,O,O
816,Jim,NNP,O,B-noun.person
817,Carey,NNP,O,I-noun.person
818,was,VBD,O,B-verb.stative
819,putting,VBG,O,B-verb.social
820,his,PRP$,O,O
821,hand,NN,O,B-noun.body
822,in,IN,O,O
823,concrete,NN,O,B-noun.location
824,for,IN,O,O
825,Hollywood,NNP,O,B-noun.communication
826,Walk,NNP,O,I-noun.communication
827,of,IN,O,O
828,Fame,NNP,O,B-noun.food
829,.,.,O,O
830,My,PRP$,O,O
831,stupid,JJ,O,O
832,comment,NN,O,B-noun.communication
833,“,NN,O,I-noun.communication
834,you,PRP,O,O
835,sound,VBP,O,O
836,just,RB,O,O
837,like,IN,O,O
838,Clint,NNP,O,B-noun.act
839,Eastwood,NNP,O,I-noun.act
840,”,NN,O,I-noun.act
841,@,JJ,O,O
842,THEbitchiestgay,NNP,O,B-noun.communication
843,RuPaul,NNP,O,I-noun.communication
844,'s,POS,O,O
845,Walk,NNP,O,I-noun.communication
846,of,IN,O,O
847,Fame,NNP,O,B-noun.person
848,star,NN,O,I-noun.person
849,unveiled,VBD,O,B-verb.communication
850,in,IN,O,O
851,Hollywood,NNP,O,B-noun.location
852,http,NN,O,I-noun.location
853,:,:,O,O
854,//,JJ,O,O
855,abc13.com/3225333/,NN,O,B-noun.time
856,via,IN,O,O
857,@,NNP,O,B-noun.person
858,ABC13Houston,NNP,O,I-noun.person
859,•,JJ,O,O
860,Vogue,NNP,O,B-noun.person
861,:,:,O,O
862,RuPaul,NN,O,B-noun.communication
863,is,VBZ,O,B-verb.stative
864,the,DT,O,O
865,newest,JJ,O,O
866,member,NN,O,B-noun.time
867,of,IN,O,O
868,the,DT,O,O
869,Hollywood,NNP,O,B-noun.communication
870,Walk,NNP,O,I-noun.communication
871,of,IN,O,O
872,Fame,NNP,O,B-noun.time
