username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
JoannaNolast;2018-03-13 23:57;0;0;"Sunset at Griffith Observatory . en Griffith Observatory https://www. instagram.com/p/BgQCJ5-ALKC/";;;;"973815378060238849";https://twitter.com/JoannaNolast/status/973815378060238849
yourmomaleman;2018-03-13 23:48;0;3;"I FINALLY went to Griffith Observatory & saw where they filmed parts of La La Land <3 that shit made me so happy!";;;;"973813111139569664";https://twitter.com/yourmomaleman/status/973813111139569664
_yungjae_;2018-03-13 23:38;0;1;"for LA (food): Urth Café, Snow Monster, In-N-Out, Umami Burger, Baekjeong kbbq LA (places): Broad Museum, LACMA (has the famous pretty lights outside), Santa Monica Pier, Melrose Avenue (street art), Griffith Observatory";;;;"973810622499606528";https://twitter.com/_yungjae_/status/973810622499606528
alanaelectric;2018-03-13 23:24;0;0;"i’m in need of a drive up to griffith observatory and w lana playing";;;;"973807010205626369";https://twitter.com/alanaelectric/status/973807010205626369
ChuchisYissel;2018-03-13 22:18;0;0;"Con mi hermanito luisjose_1393 y mi primo jeffreyjefferson en el #griffithobservatory https://www. instagram.com/p/BgSqf8Plsgk/";;;#griffithobservatory;"973790489752363008";https://twitter.com/ChuchisYissel/status/973790489752363008
thedebralamb;2018-03-13 22:17;0;2;"Retweeted Kristin West ( @thekristinwest ): #hollywood sign in the fog @Griffith Observatory https://www. instagram.com/p/BgSgkemjlbO/ https:// fb.me/3WvQtOSsd";;@thekristinwest @Griffith;#hollywood;"973790224055758848";https://twitter.com/thedebralamb/status/973790224055758848
DanielleD405;2018-03-13 22:00;0;0;"City of stars.... are you shining just for me... #losangeles #griffithobservatory #la #travel … https://www. instagram.com/p/BgSodyMn7HN/";;;#losangeles #griffithobservatory #la #travel;"973786008071401474";https://twitter.com/DanielleD405/status/973786008071401474
JenaSawyerr;2018-03-13 21:13;0;3;"OKAY SO - def go to the Getty, go to the Griffith observatory and see the Hollywood sign, walk around silver lake and go to silver lake ramen (best ramen I’ve EVER had), and magpies has amazing soft serve (and vegan soft service idk if youre vegan but it’s amazing)";;;;"973774019857133568";https://twitter.com/JenaSawyerr/status/973774019857133568
thekristinwest;2018-03-13 20:56;1;0;"Bathed in gorgeous #blue light at the #planetarium theater at griffithobservatory _uo @Griffith… https://www. instagram.com/p/BgShJecjbfS/";;@Griffith;#blue #planetarium;"973769918209581056";https://twitter.com/thekristinwest/status/973769918209581056
thekristinwest;2018-03-13 20:54;3;3;"Slowly the #planets turn... #moon and #earth at griffithobservatory _uo @Griffith Observatory https://www. instagram.com/p/BgSg2TuDR2I/";;@Griffith;#planets #moon #earth;"973769391899860993";https://twitter.com/thekristinwest/status/973769391899860993
