username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
HollywoodJunket;2017-10-30 13:46;0;0;"Disney stars at #dreamhalloween @StarlightOnline #jennaortega #stuckinthemiddle #walktheprank @… https://www. instagram.com/p/Ba4taXbgYkD/";;@StarlightOnline @;#dreamhalloween #jennaortega #stuckinthemiddle #walktheprank;"925101717389275137";https://twitter.com/HollywoodJunket/status/925101717389275137
loveyoubyebye;2017-10-30 13:46;0;0;"Home of the Big Mick @Fat Sals https://www. instagram.com/p/Ba4tXyhhnms/";;@Fat;;"925101628289634304";https://twitter.com/loveyoubyebye/status/925101628289634304
AmoryWatterson;2017-10-30 13:46;1;1;"Fun weekend with @CarsenWarner . What are you going to be for Halloween? Thank you @mateosamsimon… https://www. instagram.com/p/Ba4tWmnBDSW/";;@CarsenWarner @mateosamsimon;;"925101586334003201";https://twitter.com/AmoryWatterson/status/925101586334003201
da_real_jaysay;2017-10-30 13:46;0;0;"@dodgers “NEVER GIVE UP!”- @johncena @Dodger Stadium https://www. instagram.com/p/Ba4tWGogZ31S XbgmslJoxV-7HDSXDuKMZPERgM0/ …";;@dodgers @johncena @Dodger;;"925101579686088704";https://twitter.com/da_real_jaysay/status/925101579686088704
sonnypreyacht;2017-10-30 13:46;0;0;"Fresh and clean Clean ! ------------------------ _________________________ #sonnypreyacht … https://www. instagram.com/p/Ba4tUQbgjGq/";;;#sonnypreyacht;"925101510270357505";https://twitter.com/sonnypreyacht/status/925101510270357505
MagikidRobotics;2017-10-30 13:45;0;0;"We’d like to announce our first annual online Halloween Costume Contest! Think you beat our… https://www. instagram.com/p/Ba4tSUFnVDW/";;;;"925101444214206464";https://twitter.com/MagikidRobotics/status/925101444214206464
TudeAdjuster;2017-10-30 13:45;0;0;"Mood I love being my own boss, I expect more than any business I have ever worked for.… https://www. instagram.com/p/Ba4tR4Rnk99/";;;;"925101439759761408";https://twitter.com/TudeAdjuster/status/925101439759761408
MoyaleGuardini;2017-10-30 13:45;0;0;"Never... #girlpower #wonderwoman #PoweredByWomen em Los Angeles, California https://www. instagram.com/p/Ba4tOStHm4l/";;;#girlpower #wonderwoman #PoweredByWomen;"925101299737047040";https://twitter.com/MoyaleGuardini/status/925101299737047040
bridgetteYO;2017-10-30 13:44;0;0;"#LoveMyJob";;;#LoveMyJob;"925101124436115461";https://twitter.com/bridgetteYO/status/925101124436115461
teamkathy;2017-10-30 13:44;0;0;"@LAX - Los Angeles International Airport https://www. instagram.com/p/Ba4tHfdgzYU/";;@LAX;;"925101066311438336";https://twitter.com/teamkathy/status/925101066311438336
Toddness;2017-10-30 13:44;0;0;"I'm at @Equinox South Bay in Hawthorne, CA https://www. swarmapp.com/c/lQCs6BFIS02";;@Equinox;;"925101036079075329";https://twitter.com/Toddness/status/925101036079075329
thomas_a_keal;2017-10-30 13:43;0;1;"Hit the gym early, stretched Went through client emails and product orders for http:// thomaskeal.com … https://www. instagram.com/p/Ba4tDDdFeOY/";;;;"925100915052433409";https://twitter.com/thomas_a_keal/status/925100915052433409
madpoppin;2017-10-30 13:43;0;0;"Coming February 2018, POP! Movies: The Emperors New Groove. Bundles and individual pops are now… https://www. instagram.com/p/Ba4s8i_gxDK/";;;;"925100858500460545";https://twitter.com/madpoppin/status/925100858500460545
SnowQueenLA;2017-10-30 13:43;0;1;"Sometimes I just can’t help myself life is amazing I’m telling you! #positivevibes @… https://www. instagram.com/p/Ba4tBHoh9Gd/";;@;#positivevibes;"925100848547549184";https://twitter.com/SnowQueenLA/status/925100848547549184
594Graffiti;2017-10-30 13:43;0;0;"Graffiti Tracking: 209-217 Ashland Ave, Santa Monica, CA 90405, USA";;;;"925100810937053185";https://twitter.com/594Graffiti/status/925100810937053185
LaDyJaYdYn;2017-10-30 13:43;0;0;"Natural history museum, I visit each 1 in every country or city I go to (at @nhmla in Los Angeles, CA) https://www. swarmapp.com/c/iY41VGpwJp4";;@nhmla;;"925100746709889024";https://twitter.com/LaDyJaYdYn/status/925100746709889024
MidCityTim;2017-10-30 13:42;0;0;"nothing good ever happens at hobby lobby.";;;;"925100677814149121";https://twitter.com/MidCityTim/status/925100677814149121
JimmyMcCammon1;2017-10-30 13:42;0;0;"Just posted a photo @Little Armenia, Los Angeles https://www. instagram.com/p/Ba4s5YGF0F6/";;@Little;;"925100576546938880";https://twitter.com/JimmyMcCammon1/status/925100576546938880
hdbuttercup;2017-10-30 13:42;0;0;"Have you heard we are having a #sale on our dining, rugs, lighting and accessories? 20-30%… https://www. instagram.com/p/Ba4s44_hjCB/";;;#sale;"925100564899176448";https://twitter.com/hdbuttercup/status/925100564899176448
Mario_London;2017-10-30 13:42;0;0;"Monday’s are for new hair products my latest obsession playa oil,beach spray and dry shampoo! @… https://www. instagram.com/p/Ba4s3w3ACO_/";;@;;"925100541444743168";https://twitter.com/Mario_London/status/925100541444743168
HIPHOPGOLF;2017-10-30 13:42;0;0;"Everybody join me in wishing my grandson Ronald a Prosperous 16yrs young today! #HAPPYBIRTHDAY … https://www. instagram.com/p/Ba4s3L6BBM9/";;;#HAPPYBIRTHDAY;"925100528941617152";https://twitter.com/HIPHOPGOLF/status/925100528941617152
sonofavetthrift;2017-10-30 13:42;0;0;"NICE SET OF #HOOTERS !! @SON OF A VET THRIFT SHOP https://www. instagram.com/p/Ba4s3aKF677/";;@SON;#HOOTERS;"925100519235956736";https://twitter.com/sonofavetthrift/status/925100519235956736
Jeennnn_v;2017-10-30 13:41;0;0;"“Too young for marriage. Too old for games and too smart for players.” #snapchat #casual … https://www. instagram.com/p/Ba4ssIaHLhl/";;;#snapchat #casual;"925100409345241089";https://twitter.com/Jeennnn_v/status/925100409345241089
MidCityTim;2017-10-30 13:41;0;1;"@HBTonly I figured it wasn't them. They don't have an air of entitled asshole about them.";;@HBTonly;;"925100407285624832";https://twitter.com/MidCityTim/status/925100407285624832
TheLastStar1;2017-10-30 13:41;0;0;"I'm at Cantwell Sacred Heart of Mary High School in Montebello, CA https://www. swarmapp.com/c/jo4rPBquu0a";;;;"925100387207696385";https://twitter.com/TheLastStar1/status/925100387207696385
BlackGlass_;2017-10-30 13:41;0;0;"I’m always looking for new ways to expand my talents. I just finished making my VERY FIRST… https://www. instagram.com/p/Ba4szX9nKoR/";;;;"925100380932968449";https://twitter.com/BlackGlass_/status/925100380932968449
allicatt_;2017-10-30 13:41;0;1;"#Repost thefreedomledges ・・・ Nov. 15th catch us at tripsantamonica We play 8:30-9:45 then give… https://www. instagram.com/p/Ba4sw7pg_Cq/";;;#Repost;"925100297369935872";https://twitter.com/allicatt_/status/925100297369935872
auroraalcalaa;2017-10-30 13:41;0;0;"le sabe amargo cuando muerde el oro en Venice Beach https://www. instagram.com/p/Ba4swZejPzQa Rv9Xgy-gKdNKGwF0Z3QNRFTht00/ …";;;;"925100281150476289";https://twitter.com/auroraalcalaa/status/925100281150476289
LadyNicoleGreen;2017-10-30 13:41;0;0;"@eOneMusicUS Studios... it’s getting good #DestinyJourney #lifestylefaith #RESET @Wilshire… https://www. instagram.com/p/Ba4swV4hJ-n/";;@eOneMusicUS @Wilshire;#DestinyJourney #lifestylefaith #RESET;"925100277354680322";https://twitter.com/LadyNicoleGreen/status/925100277354680322
edcruzto9;2017-10-30 13:41;0;0;"Stocking up. @Costco https://www. instagram.com/p/Ba4swixlUMR/";;@Costco;;"925100276612177921";https://twitter.com/edcruzto9/status/925100276612177921
LisaAPinelli;2017-10-30 13:40;0;1;""I spent so long in the darkness....I'd almost forgotten how beautiful the moonlight… https://www. instagram.com/p/Ba4spLxHU92/";;;;"925100023859372034";https://twitter.com/LisaAPinelli/status/925100023859372034
NewMusicalsInc;2017-10-30 13:40;0;1;"Featured video from NMI: SPELLBOUND the new musical by Ben Boecker. @New Musicals Inc https://www. instagram.com/p/Ba4soOqlW7f/";;@New;;"925100003131117568";https://twitter.com/NewMusicalsInc/status/925100003131117568
kimchipapi617;2017-10-30 13:39;0;0;"pt 1 of 2 • kimchipapi khronicles killa kali kravings khapter • kimchipapi kalbi •… https://www. instagram.com/p/Ba4sBG6l4uh/";;;;"925099955441807360";https://twitter.com/kimchipapi617/status/925099955441807360
scotthoover;2017-10-30 13:39;0;2;"Happy Birthday Antonio @IamAntonioAaron #birthday #birthdayboy #model #actor #ink #inked … https://www. instagram.com/p/Ba4smwhnAlm/";;@IamAntonioAaron;#birthday #birthdayboy #model #actor #ink #inked;"925099955152474113";https://twitter.com/scotthoover/status/925099955152474113
roycieroyce_;2017-10-30 13:39;0;0;"everything that shine ain’t always gonna be gold @Camp Flog Gnaw https://www. instagram.com/p/Ba4sfZ7j4tnq AbULsuGO0QHXKoF8MX9u1cLAas0/ …";;@Camp;;"925099943613919232";https://twitter.com/roycieroyce_/status/925099943613919232
Tommy_Kijas;2017-10-30 13:39;0;0;"#time2grind @Los Angeles, California https://www. instagram.com/p/Ba4smYAAZ6R/";;@Los;#time2grind;"925099933304283136";https://twitter.com/Tommy_Kijas/status/925099933304283136
RachiRojas;2017-10-30 13:39;0;3;"Girl in a shirt (stolen) loljeffweber // robando camisas para el frio y otras historias.… https://www. instagram.com/p/Ba4smOEFMp_/";;;;"925099933224636416";https://twitter.com/RachiRojas/status/925099933224636416
